artist,lyrics,song_name,artist_key,url,words count,unique words count
זוהר ארגוב,"['עצוב', 'יושב', 'אני', 'מדמה', 'בזכרוני', 'האם', 'מחר', 'את', 'תשובי', 'להיות', 'נערתי', 'אסיר', 'הנני', 'בידייך', 'הלב', 'חולה', 'בלעדייך', 'החושך', 'לוחש', 'את', 'שמך', 'מול', 'עיני', 'דמותך', 'נזכר', 'אני', 'במבטך', 'איך', 'זה', 'לחיות', 'בקרבתך', 'לנשק', 'רק', 'את', 'ידך', 'להרגיש', 'את', 'חום', 'ליבך', 'מעל', 'ראשי', 'חגה', 'יונה', 'ממלמת', 'בשפתה', 'מדוע', 'היא', 'לא', 'איתך', 'היא', 'עודנה', 'מחכה', 'שובי', 'אלי', 'אהובתי', 'ראשך', 'הניחי', 'על', 'כתפי', 'אלחש', 'לך', 'אהבתי', 'אני', 'שלך', 'את', 'שלי']",נזכר אני במבטך,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2291,66,59
זוהר ארגוב,"['אנגן', 'לי', 'שיר', 'בכינורות', 'אסלסל', 'קולי', 'בנעימות', 'כי', 'עת', 'זמיר', 'הגיעה', 'נצנים', 'פרחו', 'בהר', 'נגן', 'לי', 'שיר', 'בצילצלים', 'קשט', 'אותי', 'בעדיים', 'כי', 'עת', 'כורמים', 'הגיע', 'איילים', 'גלשו', 'בהר', 'מה', 'יאמר', 'מה', 'יאמר', 'ביום', 'שידובר', 'בי', 'מה', 'יאמר', 'מה', 'יאמר', 'ביום', 'שידובר', 'בה', 'היסמין', 'הלימור', 'הסמדר', 'הצח', 'זר', 'פרחים', 'שזרתי', 'לך', 'מעלי', 'תמר', 'נגן', 'לי', 'שיר', 'בעוגבים', 'הלל', 'אותי', 'במזמורים', 'יונים', 'פרשו', 'כנף', 'רימונים', 'לבשו', 'הדר', 'חלל', 'אותי', 'בחלילים', 'שכר', 'אותי', 'באהבים', 'כי', 'עת', 'דודים', 'הגיע', 'כל', 'הדרור', 'נשמע', 'בגיא']",נגן לי שיר,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2272,79,57
זוהר ארגוב,"['מה', 'אספר', 'ילדי', 'ארוכה', 'הדרך', 'עימדי', 'מלאה', 'תככים', 'בצידי', 'איך', 'משתקף', 'ספר', 'לימודי', 'מספרים', 'הזקנים', 'בשבט', 'עובי', 'החושך', 'כהד', 'מתגלגל', 'רוחו', 'של', 'אדם', 'תחבוק', 'עולם', 'מלואו', 'שמש', 'צל', 'אתה', 'ילדי', 'העולה', 'מתנער', 'הגואה', 'בחוכמתך', 'מתייהר', 'נאה', 'מראך', 'ישאר', 'אביך', 'מביט', 'בגלגול', 'החוזר', 'אתה', 'ילדי', 'ממשיך', 'לשקוד', 'על', 'לימודים', 'גדולים', 'נדוד', 'תולה', 'בחוכמה', 'רבה', 'מאוד', 'אך', 'בדרכך', 'לרגעים', 'עמוד', 'מספרים', 'הזקנים', 'בשבט']",מספרים הזקנים,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2195,61,55
זוהר ארגוב,"['את', 'זוכרת', 'איך', 'נשקת', 'עיני', 'את', 'זוכרת', 'איך', 'בכית', 'אלי', 'עיינך', 'אז', 'ליטפו', 'ברוך', 'אמרו', 'לי', 'אני', 'עולם', 'אז', 'למה', 'למה', 'זה', 'נתת', 'להאמין', 'שהכל', 'יפה', 'כמו', 'בשיר', 'אז', 'למה', 'למה', 'זה', 'נתת', 'להאמין', 'שהכל', 'נגמר', 'כמו', 'השיר', 'כמו', 'חלום', 'הלכת', 'מבלי', 'לראות', 'נעלמת', 'פתאום', 'כל', 'כך', 'רחוק', 'לא', 'עצרת', 'לרגע', 'כדי', 'לבדוק', 'אם', 'נותר', 'דבר', 'הרסת', 'הכל', 'אך', 'היום', 'אני', 'עוד', 'מנסה', 'מחפש', 'מסתור', 'או', 'מחסה', 'אך', 'תמיד', 'אשאל', 'מי', 'לך', 'נתן', 'פני', 'מלאך', 'יפים', 'נשמת', 'שטן']",מלאך ושטן,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2152,78,62
זוהר ארגוב,"['כשעולה', 'לה', 'שעת', 'בין', 'ערביים', 'כשהשמש', 'נופלת', 'לים', 'אז', 'אנחנו', 'יורדים', 'אל', 'המים', 'שוכחים', 'את', 'כל', 'העולם', 'כי', 'את', 'לידי', 'ידך', 'בידי', 'בין', 'סלע', 'צדפים', 'שחפים', 'את', 'איתי', 'כי', 'את', 'לידי', 'ידך', 'בידי', 'הן', 'זהו', 'הרגע', 'הכי', 'אמיתי', 'בלי', 'ריצה', 'יום', 'יומית', 'מטורפת', 'בלי', 'מירוץ', 'נגד', 'כל', 'השעות', 'עוד', 'כוכב', 'שנפל', 'את', 'אוספת', 'אני', 'מתמלא', 'משאלות', 'כי', 'את', 'לידי', 'ידך', 'בידי', 'אוספים', 'זכרונות', 'מן', 'הלילה', 'כשהשמש', 'עולה', 'על', 'הגב', 'עיניי', 'מסתכלות', 'שם', 'למעלה', 'אלוהים', 'איך', 'אני', 'מאוהב', 'כי', 'את', 'לידי', 'ידך', 'בידי']",כשאת לידי,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=1781,82,59
זוהר ארגוב,"['להביט', 'בשמיים', 'לראות', 'כוכבים', 'להביט', 'בירח', 'החם', 'למחות', 'זכרונות', 'מימים', 'שעברו', 'שנותי', 'היפות', 'שחלפו', 'פעם', 'היה', 'אחרת', 'היום', 'זה', 'שונה', 'אתמול', 'היה', 'יפה', 'היום', 'זה', 'שונה', 'ככה', 'זה', 'כל', 'יום', 'שעובר', 'ככה', 'זה', 'כל', 'יום', 'שחולף', 'לראות', 'לשמוע', 'לחשוב', 'לצחוק', 'לצחוק', 'לפעמים', 'בא', 'לבכות', 'לקרוא', 'לכתוב', 'לחשוב', 'פעמיים', 'לאמר', 'להתראות', 'לקרוא', 'לכתוב', 'לחשוב', 'פעמיים', 'לאמר', 'גם', 'להתראות']",כל יום שעובר,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=1717,57,38
זוהר ארגוב,"['עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'פרחה', 'הגפן', 'הנצו', 'רימונים', 'עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'פרחה', 'הגפן', 'הנצו', 'רימונים', 'פרחה', 'הגפן', 'הנצו', 'רימונים', 'חלף', 'הגשם', 'הסתיו', 'עבר', 'חלף', 'הגשם', 'הסתיו', 'עבר', 'קומי', 'רעייתי', 'החשק', 'גבר', 'קומי', 'רעייתי', 'החשק', 'גבר', 'ירדנו', 'חברה', 'לרעות', 'בגנים', 'ירדנו', 'חברה', 'לרעות', 'בגנים', 'שם', 'בבית', 'דודי', 'עינייך', 'יונים', 'שם', 'בבית', 'דודי', 'עינייך', 'יונים', 'יפית', 'נעמת', 'כשלג', 'שינך', 'יפית', 'נעמת', 'כשלג', 'שינך', 'דבש', 'חלב', 'תחת', 'לשונך', 'דבש', 'חלב', 'תחת', 'לשונך', 'עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'עת', 'דודים', 'כלה', 'בואי', 'אל', 'גני', 'פרחה', 'הגפן', 'הנצו', 'רימונים', 'פרחה', 'הגפן', 'הנצו', 'רימונים']",עת דודים כלה,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=2599,106,35
זוהר ארגוב,"['יפה', 'אהבה', 'מתגשמת', 'יפה', 'אף', 'משמש', 'זוהרת', 'אך', 'את', 'ליבי', 'האוהב', 'הותירה', 'גלמוד', 'כואב', 'אני', 'את', 'כולי', 'לה', 'נתתי', 'דבר', 'לעצמי', 'לא', 'הותרתי', 'את', 'כל', 'שירי', 'לה', 'שרתי', 'יום', 'כל', 'הליל', 'מה', 'מה', 'מה', 'אוסיף', 'לשיר', 'לה', 'מה', 'מתוך', 'הנשמה', 'לה', 'לו', 'רק', 'עלומיה', 'נתנה', 'לי', 'כל', 'כוחי', 'אוני', 'לה', 'אשמור', 'קולי', 'בעצב', 'לא', 'אתן', 'אם', 'לי', 'תהה', 'אהבתי', 'אף', 'אם', 'שנים', 'אחכה', 'לה', 'בליבי', 'עודנה', 'שוכנת', 'לעולם', 'לא', 'עוזבת', 'הופיעה', 'מולי', 'יושבת', 'עם', 'מרעיה', 'שוחקת', 'לב', 'אוהב', 'בי', 'בוער', 'קול', 'רועד', 'מזמר', 'נדמה', 'כי', 'איננה', 'מודעת', 'רק', 'את', 'קולי', 'היא', 'שומעת', 'מה', 'בראשי', 'לא', 'יודעת', 'מה', 'בליבי']",יפה אהבה,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=1610,98,73
זוהר ארגוב,"['שרתי', 'בחיי', 'כבר', 'המון', 'שירים', 'כתבתי', 'מנגינות', 'להרבה', 'מילים', 'רציתי', 'שיר', 'פרטי', 'ששייך', 'רק', 'לי', 'לבד', 'תמיד', 'יהיה', 'איתי', 'שלא', 'יכיר', 'את', 'אף', 'אחד', 'אשיר', 'אותו', 'בסוד', 'תמיד', 'עליו', 'אשמור', 'שלא', 'יקשיבו', 'לו', 'שלא', 'יצא', 'לאור', 'אבל', 'הוא', 'לא', 'יכול', 'כי', 'הוא', 'רוצה', 'להיות', 'גדול', 'פרח', 'בין', 'השירים', 'במצעד', 'הפזמונים', 'עכשיו', 'אני', 'לבד', 'היכן', 'השיר', 'שלי', 'אבד', 'חזור', 'אלי', 'מהר', 'איני', 'רוצה', 'פזמון', 'אחר', 'עבר', 'הוא', 'את', 'הים', 'דילג', 'על', 'ארצות', 'שמר', 'על', 'המילים', 'שינה', 'הרבה', 'שפות', 'תהיתי', 'אם', 'אוכל', 'להכיר', 'אותו', 'בכלל', 'היכן', 'אמצא', 'אותו', 'אם', 'כולם', 'שרים', 'אותו', 'עכשיו', 'אני', 'לבד']",שיר פרטי,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=3028,93,76
זוהר ארגוב,"['שם', 'הרחק', 'ביער', 'אלון', 'עתיק', 'ניצב', 'לידו', 'בדשא', 'הפרטיזן', 'שכב', 'הוא', 'שכב', 'בלי', 'נוע', 'שוב', 'אינו', 'נרדם', 'תלתלי', 'זהב', 'לו', 'רוח', 'תפזרם', 'לידו', 'בדשא', 'אמא', 'בוכיה', 'בדמעות', 'צער', 'לוחשת', 'אומללה', 'אותך', 'בני', 'גידלתי', 'שמרתי', 'מכל', 'רע', 'רק', 'כדור', 'עופרת', 'בך', 'בני', 'פגע', 'אותך', 'בני', 'גידלתי', 'שמרתי', 'מכל', 'רע', 'רק', 'כדור', 'עופרת', 'בך', 'בני', 'פגע', 'היה', 'היתה', 'לי', 'אשה', 'אשת', 'חיל', 'ברחה', 'ממני', 'בדמי', 'הליל', 'לקחה', 'איתה', 'את', 'בני', 'הקטן', 'את', 'בני', 'מחמדי', 'יהונתן', 'מי', 'פילל', 'פילל', 'מי', 'מילל', 'מילל', 'שכזאת', 'יקראני', 'לעזאזל', 'ילדי', 'הרחובות', 'רוגמים', 'בי', 'אבן', 'קוראים', 'לי', 'שיכור', 'ממרמרים', 'את', 'חיי', 'אך', 'למה', 'מדוע', 'תשנאוני', 'אחי', 'כי', 'בגללך', 'הבקבוק', 'יחרים', 'אבוק', 'מי', 'פילל', 'פילל', 'מי', 'מילל', 'מילל', 'שכזאת', 'יקראני', 'לעזאזל', 'מי', 'פילל', 'פילל', 'מי', 'מילל', 'מילל', 'כי', 'בגללך', 'הבקבוק', 'לעזאזל']",שיר הפרטיזן,Artist_Zohar_Argov,http://shironet.mako.co.il/artist?type=lyrics&lang=1&prfid=373&wrkid=18785,122,79
